pic,date_zh,date_en,news_zh,news_en,,,,,,
jlu.jpg,2024年6月,June 2024,祝贺许杨的学位论文入选吉林大学优秀本科论文！ ,Dr. Yang xu's doctoral thesis was selected for Outstanding Bachelor Theses of Jilin University!,,,,,,
youli.jpg,2024年6月,June 2024,祝贺李由博士的学位论文入选吉林大学优秀博士论文！ ,Dr. You Li's doctoral thesis was selected for Outstanding Doctoral Theses of Jilin University!,,,,,,
jia_liu2.jpg,2024年6月,June 2024,祝贺刘佳获得中国化学会最佳墙报奖！,Jialiu was awarded the Best Poster Award of the 34th CCS Congress！ ,,,,,,
Transport Properties and Potential Energy Models for Monatomic Gases(1).png,2024年1月,January 2024,祝贺李辉教授和加拿大滑铁卢大学教授Frederick R.W. McCourt在牛津大学出版社合作出版化学物理专著！ ,Prof. Hui Li and Prof. Frederick R. W. McCourt published a book at Oxford University Press on Chemical Physics!,,,,,,
yuzhai_s.jpg,2023年6月,June 2023,祝贺翟羽博士的学位论文入选吉林大学优秀博士论文！ ,Dr. Yu Zhai's doctoral thesis was selected for Outstanding Doctoral Theses of Jilin University!,,,,,,
jlu.jpg,2023年6月,June 2023,祝贺丛阳、翟羽、胡良宇、胡玉蓉通过学位论文答辩！ ,"Yang Cong, Yu Zhai, Liangyu Hu, and Yurong Hu have defensed their theses!",,,,,,
yuzhai_s.jpg,2023年5月,May 2023,祝贺翟羽获得北京大学博雅博士后项目资助！ ,Yu Zhai was selected for Peking University Boya Postdoctoral Fellowship!,,,,,,
lyhu_2.jpg,2023年3月,March 2023,"祝贺胡良宇等人的<a href=""https://doi.org/10.1039/D3CP00364G"">论文</a>被选为Phys. Chem. Chem. Phys.封面文章！ ","Liangyu Hu et al.'s <a href=""https://doi.org/10.1039/D3CP00364G"">work</a> was selected as front cover paper of Phys. Chem. Chem. Phys.! ",,,,,,
yr_hu_s.jpg,2022年10月,October 2022,祝贺胡玉蓉获得硕士研究生国家奖学金！ , Yurong Hu was awarded the National Scholarship of Master candidates! ,,,,,,
ha_tran.jpg,2021年12月,December 2021,欢迎法国国家科学研究中心Ha Tran研究员与我们进行线上报告！ , Welcome Directrice de Recherche Ha Tran from CNRS giving an on-line talk to us! ,,,,,,
Jian-Tang2.jpg,2021年11月,November 2021,欢迎冈山大学唐健教授与我们进行线上报告！ , Welcome prof. Jian Tang from Okayama university giving an on-line talk to us! ,,,,,,
zz-zhang2.jpg,2021年10月,October 2021,欢迎中山大学章志珍副教授访问我们！ , Welcome prof. Zhizhen Zhang from SYSU visiting us! ,,,,,,
ccs.png,2021年4月,August 2020,祝贺李由、胡良宇、郭玉洁三位同学获得32届中国化学会优秀墙报奖！ ," You Li, Yurong Hu, and Yujie Guo were awarded ""the best poster award"" of 32th CCS congress! ",,,,,,
guozl.jpg,2020年8月,August 2020,欢迎台湾原分所郭哲来教授与我们进行线上报告！, Welcome prof. Jer-Lai Kuo from IAMS giving an on-line talk to us!,,,,,,
lgq.jpg,2020年8月,August 2020,欢迎哥伦比亚大学李广起博士与我们进行线上报告！ , Welcome Dr. Guangqi Li from Columbia University giving an on-line talk to us! ,,,,,,
zefeng-ren.jpg,2019年11月,November 2019,欢迎大连化物所任泽峰研究员访问我们！ ," Welcome Dr. Ren Zefeng from DICP,CAS visiting us! ",,,,,,
