author,title,journal,vol,page,year_zh,year_en,doi,comment,Column1,_1,_2
*,,,,,专著,Monograph,,,,,
"Hui Li, and Frederich R. W. McCourt",Thransport Properties and Potential Energy Models for Monatomic Gases,International Series of Monographs on Physics,174,Oxford University Press,2024,2024,10.1093/oso/9780198888253.001.0001,,,,
*,,,,,2024,2024,,,,,
"Tsuneo Hirano, Hui Li,",Intramolecular vibrational energy redistribution in the reaction H<sub>3</sub><sup>+</sup> + CO → HCO<sup>+</sup> + H<sub>2</sub>,J. Phys. Chem. A.,has been accepted, ,2024, ,,,,
"Jitai Yang, Ke Li, Jia Liu, Jia Nie, Hui Li,",A rotational/roto-translational constraint method for condensed matter,J. Chem. Phys.,161, 054101,2024,2024,10.1063/5.0216913,,,,
"Jiarui Li, Tao Zeng, Zexing Qu, Yu Zhai, Hui Li,",Energy transfer from two luteins to chlorophylls in light-harvesting complex II study by using exciton models with phase correction,Phys. Chem. Chem. Phys.,26,1023-1029,2024,2024,10.1039/D3CP05278H,,,,
"Guiya Qin, Xiaoqi Sun, Rui Wang, Jingfu Guo, Jianxun Fan, Hui Li; Luyi Zou, Aimin Ren,",In-depth theoretical analysis of the influence of an external electric field on charge transport parameters,Chem. Sci.,15, 4403-4415,2024,2024,10.1039/D3SC06728A,,,,
*,,,,,2023,2023,,,,,
"Jitai Yang, Yang Cong, You Li, Hui Li,",Machine Learning Approach Based on a Range-Corrected Deep Potential Model for Efficient Vibrational Frequency Computation,J. Chem. Theory Comput.,19,6366,2023,2023,10.1021/acs.jctc.3c00386,,,,
"Jiarui Li, Tao Zeng, Yu Zhai, Zexing Qu, Hui Li,",Intermolecular resonance energy transfer between two lutein pigments in light-harvesting complex II studied by frenkel exciton models,Phys. Chem. Chem. Phys.,36,24636,2023,2023,10.1039/D3CP03092J,,,,
"Liangyu Hu, Jitai Yang, Yu Zhai, Jing Yang, Hui Li,","Charge fluctuation drives anion rotation to enhance the conductivity of Na<sub>11</sub><i>M</i><sub>2</sub>PS<sub>12</sub> (<i>M</i>= Si, Ge, Sn) Superionic Conductors",Phys. Chem. Chem. Phys.,25,7634,2023,2023,10.1039/D3CP00364G,(Selected as front cover paper),,,
"Yu Zhai, You Li, Hui Li, Frederick R. W. McCourt ",Peng: A program for transport properties of low-density binary gas mixtures,Comput. Phys. Commun.,287,108712,2023,2023,10.1016/j.cpc.2023.108712,,,,
"You Li, Yu Zhai, Hui Li",MLRNet: Combining the Physics-Motivated Potential Models with Neural Networks for Intermolecular Potential Energy Surface Construction,J. Chem. Theory Comput.,19,1421,2023,2023,10.1021/acs.jctc.2c01049,,,,
"Guiya Qin, Panpan Lin, Xiaoqi Sun, Jingfu Guo, Jianxun Fan, Lifei Ji, Hui Li, Aimin Ren","Theoretically seeking charge transport materials with inherent mobility higher than 2,6-diphenyl anthracene: three isomers of 2,6-dipyridyl anthracene",Phys. Chem. Chem. Phys.,25,540,2023,2023,10.1039/D2CP03926E,,,,
"Hui-Yuan Li, Gui-Ya Qin, Pan-Pan Lin, Xiao-Qi Sun, Jian-Xun Fan, Rui Wang, Hui Li, Lu-Yi Zou, Jing-Fu Guo, Ai-Min Ren",Theoretical study of the tuning role of β-methylthio or β-methylselenyl on the charge-transport properties of acenedithiophenes derivatives,Phys. Chem. Chem. Phys.,25,10313,2023,2023,10.1039/D3CP00567D,,,,
